"Contrast","Ratio","se","LCL","UCL","p.value"
"CH - CO",0.04,0.04,0,0.83,"0.0013"
"CH - CS",4.97,5.81,0.14,173.24,"0.1705"
"CH - MH",0.03,0.03,0,0.7,"0.0007"
"CH - MO",0.03,0.03,0,0.72,"0.0008"
"CH - MS",2.25,2.49,0.08,65.28,"0.4653"
"CO - CS",141.45,161.54,4.4,4544.15,"<.0001"
"CO - MH",0.84,0.85,0.04,17.96,"0.8616"
"CO - MO",0.87,0.88,0.04,18.58,"0.8881"
"CO - MS",64.01,69.07,2.41,1698.14,"0.0001"
"CS - MH",0.01,0.01,0,0.19,"<.0001"
"CS - MO",0.01,0.01,0,0.2,"<.0001"
"CS - MS",0.45,0.54,0.01,17.28,"0.5084"
"MH - MO",1.03,1.04,0.05,22.13,"0.9732"
"MH - MS",76.31,82.33,2.88,2023.29,"0.0001"
"MO - MS",73.77,79.59,2.78,1956.13,"0.0001"
