"Contrast","Ratio","se","LCL","UCL","p.value"
"CH - CO",0.07,0.03,0.01,0.31,"<.0001"
"CH - CS",0.27,0.15,0.05,1.47,"0.0188"
"CH - MH",4,4.47,0.13,119.46,"0.2150"
"CH - MO",0.19,0.1,0.04,1,"0.0024"
"CH - MS",76976860.85,204815615820.05,0,0,"0.9946"
"CO - CS",4.07,1.17,1.69,9.76,"<.0001"
"CO - MH",61,61.5,2.85,1304.73,"<.0001"
"CO - MO",2.9,0.73,1.35,6.27,"<.0001"
"CO - MS",1173897127.89,3123438089723.08,0,0,"0.9937"
"CS - MH",15,15.49,0.65,345.77,"0.0087"
"CS - MO",0.71,0.24,0.26,1.99,"0.3196"
"CS - MS",288663228.17,768058549380.28,0,0,"0.9942"
"MH - MO",0.05,0.05,0,1.07,"0.0029"
"MH - MS",19244215.21,51203906667.25,0,0,"0.9950"
"MO - MS",404128519.44,1075281967685.86,0,0,"0.9941"
