"BIOMASS","TREATMENT","PACKET","TYPE","prob","std.error","p.value"
"High biomass","Herbivore exclusion","Bank
adjacent","No dormancy",0.57170662472385,0.117885016793023,0.54857224904102
"Low biomass","Herbivore exclusion","Bank
adjacent","No dormancy",0.207917952144299,0.080730133606463,0.00636191118407963
"High biomass","Open","Bank
adjacent","No dormancy",0.200348735389292,0.0820601207358701,0.00688692428941989
"Low biomass","Open","Bank
adjacent","No dormancy",0.581407522517229,0.116377600560021,0.492030088940046
"High biomass","Scavenger exclusion","Bank
adjacent","No dormancy",0.285678041545896,0.0990439338375119,0.0589918419868346
"Low biomass","Scavenger exclusion","Bank
adjacent","No dormancy",0.323711600708688,0.107112399977232,0.132106864183512
"High biomass","Herbivore exclusion","Bank
adjacent","Physical dormancy",0.24968520158146,0.0902352754425506,0.0223493496831082
"Low biomass","Herbivore exclusion","Bank
adjacent","Physical dormancy",0.227402369050499,0.0856085902058518,0.0120737044992146
"High biomass","Open","Bank
adjacent","Physical dormancy",0.147411354853796,0.0610792028768129,0.000304635792569242
"Low biomass","Open","Bank
adjacent","Physical dormancy",0.119127822104005,0.0548643789773205,0.000129888701650333
"High biomass","Scavenger exclusion","Bank
adjacent","Physical dormancy",0.160923791508577,0.0663734932264955,0.000780904317434711
"Low biomass","Scavenger exclusion","Bank
adjacent","Physical dormancy",0.207407060516497,0.0826994622234644,0.00770141532359855
"High biomass","Herbivore exclusion","Bank
adjacent","Physiological dormancy",0.352866090283908,0.113790316492626,0.22358965264365
"Low biomass","Herbivore exclusion","Bank
adjacent","Physiological dormancy",0.272624238057607,0.101130547451075,0.0543216870918581
"High biomass","Open","Bank
adjacent","Physiological dormancy",0.341267845782072,0.113048519363217,0.190948888371673
"Low biomass","Open","Bank
adjacent","Physiological dormancy",0.353955873761954,0.115904291983571,0.235186793521589
"High biomass","Scavenger exclusion","Bank
adjacent","Physiological dormancy",0.0000000109354667563986,0.0000114492412922711,0.986030827791157
"Low biomass","Scavenger exclusion","Bank
adjacent","Physiological dormancy",0.281559271261661,0.100317485722591,0.058908526847543
"High biomass","Herbivore exclusion","Bank
proximal","No dormancy",0.00000000964810392955524,0.00000935449476329368,0.984812548044378
"Low biomass","Herbivore exclusion","Bank
proximal","No dormancy",0.0595893960466147,0.0280630630168788,0.0000000360747742407879
"High biomass","Open","Bank
proximal","No dormancy",0.117617389973109,0.0532173028870072,0.0000849496284609231
"Low biomass","Open","Bank
proximal","No dormancy",0.218215013195994,0.0883103180832199,0.0136952695356828
"High biomass","Scavenger exclusion","Bank
proximal","No dormancy",0.0408918158194608,0.020094311803101,0.000000000736646574966864
"Low biomass","Scavenger exclusion","Bank
proximal","No dormancy",0.00000000739831212893464,0.00000675281717211955,0.983635232913084
"High biomass","Herbivore exclusion","Bank
proximal","Physical dormancy",0.00000000705944191666419,0.00000623495119034384,0.983045558060133
"Low biomass","Herbivore exclusion","Bank
proximal","Physical dormancy",0.119682448223732,0.052485633071814,0.0000618587136425536
"High biomass","Open","Bank
proximal","Physical dormancy",0.00000000756044523121635,0.00000678120878832166,0.983365940344463
"Low biomass","Open","Bank
proximal","Physical dormancy",0.0819895025932905,0.0394523481921648,0.0000040555052429043
"High biomass","Scavenger exclusion","Bank
proximal","Physical dormancy",0.138576580256339,0.0586488238976399,0.000200024336949575
"Low biomass","Scavenger exclusion","Bank
proximal","Physical dormancy",0.0000000151076019627928,0.00000912106817352616,0.976204621897421
"High biomass","Herbivore exclusion","Bank
proximal","Physiological dormancy",0.123307380709472,0.0573022635245716,0.000215267052323523
"Low biomass","Herbivore exclusion","Bank
proximal","Physiological dormancy",0.0734320736141612,0.0396830954588724,0.0000138216863012568
