"contrast","ratio","SE","df","t.ratio","p.value"
"CONTROL,ND / MME,ND",6.09582761796966,2.21254027751076,87,4.45781958760578,0.000345699498398466
"CONTROL,ND / CONTROL,PD",2.02053231399222,0.362212847147013,87,2.86593968042264,0.0566551824840156
"CONTROL,ND / MME,PD",1.99499192647823,0.38040755818581,87,2.62765576712084,0.101520422843096
"CONTROL,ND / CONTROL,PY",1.37840977488275,0.229588582017667,87,0.788513515712933,0.968788338294162
"CONTROL,ND / MME,PY",1.27371981651041,0.208775399317521,87,0.319359998711041,0.99954276817642
"MME,ND / CONTROL,PD",0.400657542231195,0.144517786407015,87,-3.0613775479514,0.0337028967585939
"MME,ND / MME,PD",0.395593060550729,0.143466254822124,87,-3.07991188099644,0.0320247390482231
"MME,ND / CONTROL,PY",0.273329096875849,0.0968747397683757,87,-4.19460508755708,0.000904663518103255
"MME,ND / MME,PY",0.252569804323453,0.0889078836075216,87,-4.44774036914974,0.000358924812517203
"CONTROL,PD / MME,PD",1.19348108777217,0.209977138074931,87,-0.072304381434173,0.999999712174547
"CONTROL,PD / CONTROL,PY",0.824617872227147,0.123622643576524,87,-2.55098110668294,0.120971447557632
"CONTROL,PD / MME,PY",0.761988302784453,0.116762425282579,87,-3.011209979096,0.0386396196684304
"MME,PD / CONTROL,PY",0.835174837259537,0.140782708709645,87,-2.19325286020927,0.251515070254038
"MME,PD / MME,PY",0.771743468344759,0.128889212706162,87,-2.68664887177043,0.0883404899374063
"CONTROL,PY / MME,PY",1.1169552165945,0.155540019323348,87,-0.567230559665451,0.992879726339662
