Site,Plot,Treatment,Camera,Card,Cage,Netting,Carrion,Observer,Date,Time,Common name,Group Size,Individual Observed,Age,Sex,Vigilant,Walking/hopping,Running,Foraging,Feeding,Interacting,Preening,Flying,Loafing,Unknown,Other,Defecating,Note,Save,Why
GG,3,CS,NA,445,N,N,Single,VIS,05/29/19,21:35,Coyote,1,1,Adult,Uknown,0,1,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,4/24/2019,20:39,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,edge of plot,,
DF,4,MO,NA,432,N,N,Mass,DSM,4/26/2019,1:46,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,4/27/2019,22:06,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,4/27/2019,22:21,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,4/27/2019,23:56,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,4/28/2019,0:01,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,4/29/2019,22:10,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,4/29/2019,22:17,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,4/29/2019,22:32,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,5/1/2019,2:59,Coyote,1,1,Adult,Unknown,0,0,0,0,1,0,0,0,0,0,0,0,carcass,,
DF,4,MO,NA,432,N,N,Mass,DSM,5/1/2019,3:20,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,5/2/2019,5:00,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,5/8/2019,21:41,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,5/9/2019,0:48,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,,
DF,4,MO,NA,432,N,N,Mass,DSM,5/9/2019,20:46,Coyote,1,1,Adult,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,edge of plot,,
