Day Stage Reached,Site,Treatment,Biomass,Functional,Average TBS,Decay Stage,SD,SE
7,WP,Herbivore MME,MME,Herbivore Exclusion,18,Advanced,0.981306764,0.490653382
7,OS,Herbivore MME,MME,Herbivore Exclusion,18.33333333,Advanced,,
7,GG,Herbivore MME,MME,Herbivore Exclusion,19.66666667,Advanced,,
7,DF,Herbivore MME,MME,Herbivore Exclusion,20,Advanced,,
6,WP,Herbivore Single Carcass,Single Carcass,Herbivore Exclusion,17,Advanced,3.605551275,2.081665999
7,GG,Herbivore Single Carcass,Single Carcass,Herbivore Exclusion,19,Advanced,,
19,DF,Herbivore Single Carcass,Single Carcass,Herbivore Exclusion,24,Advanced,,
7,OS,Open MME,MME,Open Control,17,Advanced,1.835856851,1.059932447
7,WP,Open MME,MME,Open Control,18.66666667,Advanced,,
7,GG,Open MME,MME,Open Control,20.66666667,Advanced,,
6,WP,Open Single Carcass,Single Carcass,Open Control,21,Advanced,0.707106781,0.5
7,OS,Open Single Carcass,Single Carcass,Open Control,20,Advanced,,
7,GG,Scavenger MME,MME,Scavenger Exclusion,20.33333333,Advanced,2.04350824,1.02175412
7,DF,Scavenger MME,MME,Scavenger Exclusion,21,Advanced,,
19,WP,Scavenger MME,MME,Scavenger Exclusion,24,Advanced,,
19,OS,Scavenger MME,MME,Scavenger Exclusion,24.33333333,Advanced,,
7,OS,Scavenger Single Carcass,Single Carcass,Scavenger Exclusion,17,Advanced,2.645751311,1.527525232
7,DF,Scavenger Single Carcass,Single Carcass,Scavenger Exclusion,21,Advanced,,
7,GG,Scavenger Single Carcass,Single Carcass,Scavenger Exclusion,22,Advanced,,
