Day Stage Reached,Site,Treatment,Biomass,Functional,Average TBS,Decay Stage,SD,SE
1,GG,Herbivore MME,MME,Herbivore Exclusion,4,Early,0.272165527,0.136082764
1,DF,Herbivore MME,MME,Herbivore Exclusion,4.333333333,Early,,
1,OS,Herbivore MME,MME,Herbivore Exclusion,4.333333333,Early,,
1,WP,Herbivore MME,MME,Herbivore Exclusion,4.666666667,Early,,
1,DF,Herbivore Single Carcass,Single Carcass,Herbivore Exclusion,4,Early,0.5,0.25
1,WP,Herbivore Single Carcass,Single Carcass,Herbivore Exclusion,4,Early,,
1,GG,Herbivore Single Carcass,Single Carcass,Herbivore Exclusion,4,Early,,
1,OS,Herbivore Single Carcass,Single Carcass,Herbivore Exclusion,5,Early,,
1,DF,Open MME,MME,Open Control,4,Early,0.166666667,0.083333333
1,WP,Open MME,MME,Open Control,4.333333333,Early,,
1,GG,Open MME,MME,Open Control,4.333333333,Early,,
1,OS,Open MME,MME,Open Control,4.333333333,Early,,
1,DF,Open Single Carcass,Single Carcass,Open Control,4,Early,0.5,0.25
1,WP,Open Single Carcass,Single Carcass,Open Control,4,Early,,
1,OS,Open Single Carcass,Single Carcass,Open Control,4,Early,,
1,GG,Open Single Carcass,Single Carcass,Open Control,5,Early,,
1,DF,Scavenger MME,MME,Scavenger Exclusion,4,Early,0.19245009,0.096225045
1,WP,Scavenger MME,MME,Scavenger Exclusion,4,Early,,
1,GG,Scavenger MME,MME,Scavenger Exclusion,4.333333333,Early,,
1,OS,Scavenger MME,MME,Scavenger Exclusion,4.333333333,Early,,
1,DF,Scavenger Single Carcass,Single Carcass,Scavenger Exclusion,4,Early,0.5,0.25
1,WP,Scavenger Single Carcass,Single Carcass,Scavenger Exclusion,4,Early,,
1,GG,Scavenger Single Carcass,Single Carcass,Scavenger Exclusion,4,Early,,
1,OS,Scavenger Single Carcass,Single Carcass,Scavenger Exclusion,5,Early,,
