Day Stage Reached,Site,Treatment,Biomass,Functional,Average TBS,Decay Stage,SD,SE
19,GG,Herbivore MME,MME,Herbivore Exclusion,25,Skeletal,1.763834207,0.881917103
19,WP,Herbivore MME,MME,Herbivore Exclusion,29,Skeletal,,
47,OS,Herbivore MME,MME,Herbivore Exclusion,27,Skeletal,,
47,DF,Herbivore MME,MME,Herbivore Exclusion,28.33333333,Skeletal,,
19,OS,Herbivore Single Carcass,Single Carcass,Herbivore Exclusion,26,Skeletal,3.785938897,2.185812841
47,WP,Herbivore Single Carcass,Single Carcass,Herbivore Exclusion,32,Skeletal,,
47,GG,Herbivore Single Carcass,Single Carcass,Herbivore Exclusion,33,Skeletal,,
19,WP,Open MME,MME,Open Control,25,Skeletal,5.493261866,2.746630933
19,DF,Open MME,MME,Open Control,25.66666667,Skeletal,,
19,GG,Open MME,MME,Open Control,34.66666667,Skeletal,,
47,OS,Open MME,MME,Open Control,35,Skeletal,,
7,WP,Open Single Carcass,Single Carcass,Open Control,29,Skeletal,2.828427125,2
19,OS,Open Single Carcass,Single Carcass,Open Control,25,Skeletal,,
20,DF,Scavenger MME,MME,Scavenger Exclusion,25,Skeletal,5.538376217,2.769188109
20,WP,Scavenger MME,MME,Scavenger Exclusion,25.33333333,Skeletal,,
47,GG,Scavenger MME,MME,Scavenger Exclusion,34.5,Skeletal,,
47,OS,Scavenger MME,MME,Scavenger Exclusion,35,Skeletal,,
19,WP,Scavenger Single Carcass,Single Carcass,Scavenger Exclusion,26,Skeletal,4.618802154,2.666666667
19,GG,Scavenger Single Carcass,Single Carcass,Scavenger Exclusion,26,Skeletal,,
47,DF,Scavenger Single Carcass,Single Carcass,Scavenger Exclusion,34,Skeletal,,
