"Rounded.date","Site","Treatment","Carrion","Exclusion","Genus.species","DormancyClass","Cover"
2019-07-21,"WP","MO","High","Open","Aegilops cylindrica","PD",0
2019-03-17,"GG","CS","Low","Scavenger","Aegilops cylindrica","PD",0.06
2019-04-21,"WP","MS","High","Scavenger","Aegilops cylindrica","PD",0
2021-07-18,"GG","CO","Low","Open","Aegilops cylindrica","PD",0.44
2021-07-18,"DF","MO","High","Open","Aegilops cylindrica","PD",0
2019-07-21,"DF","MH","High","Herbivore","Aegilops cylindrica","PD",0
2020-07-19,"DF","MO","High","Open","Aegilops cylindrica","PD",0.19
2019-04-21,"DF","CH","Low","Herbivore","Aegilops cylindrica","PD",0.38
2021-07-18,"DF","CO","Low","Open","Aegilops cylindrica","PD",0.19
2019-03-17,"DF","CH","Low","Herbivore","Aegilops cylindrica","PD",0.06
2019-03-17,"DF","MO","High","Open","Aegilops cylindrica","PD",0.06
2019-04-21,"WP","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.79
2019-04-21,"DF","MO","High","Open","Aegilops cylindrica","PD",0.06
2019-03-17,"WP","MS","High","Scavenger","Aegilops cylindrica","PD",0
2019-07-21,"WP","CH","Low","Herbivore","Aegilops cylindrica","PD",0
2019-04-21,"GG","MO","High","Open","Aegilops cylindrica","PD",0.44
2020-07-19,"WP","MH","High","Herbivore","Aegilops cylindrica","PD",0
2019-06-02,"DF","CO","Low","Open","Aegilops cylindrica","PD",0.81
2019-05-05,"OS","MS","High","Scavenger","Aegilops cylindrica","PD",0.13
2020-07-19,"OS","MS","High","Scavenger","Aegilops cylindrica","PD",0
2019-06-02,"WP","MO","High","Open","Aegilops cylindrica","PD",0
2019-05-05,"GG","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.5
2019-03-17,"OS","CH","Low","Herbivore","Aegilops cylindrica","PD",0.06
2019-06-02,"DF","MH","High","Herbivore","Aegilops cylindrica","PD",0
2019-07-21,"OS","MS","High","Scavenger","Aegilops cylindrica","PD",0
2019-04-21,"GG","CS","Low","Scavenger","Aegilops cylindrica","PD",0.06
2019-05-05,"WP","MS","High","Scavenger","Aegilops cylindrica","PD",0.06
2021-07-18,"OS","MO","High","Open","Aegilops cylindrica","PD",0.06
2021-07-18,"WP","MS","High","Scavenger","Aegilops cylindrica","PD",0
2019-05-05,"DF","MO","High","Open","Aegilops cylindrica","PD",0.06
2019-04-21,"WP","CH","Low","Herbivore","Aegilops cylindrica","PD",0.19
2019-06-02,"WP","REF","Reference","Herbivore","Aegilops cylindrica","PD",0.13
