SITE,TREATMENT,BIOMASS,EXCLUSION,TRANSECT,DISTANCE,DORMANCY.CLASS,EXTIRPATED.EVER,3/10/19,4/21/19,5/5/19,6/2/19,7/21/19,7/19/20,7/18/21
DF,CH,Single carcass,Herbivore,E,3,PD,1,1,1,1,1,0,1,0
DF,CH,Single carcass,Herbivore,E,4,PD,1,1,1,1,1,0,0,1
DF,CH,Single carcass,Herbivore,N,3,PD,1,1,1,1,1,0,0,1
DF,CH,Single carcass,Herbivore,N,4,PD,1,1,1,1,1,1,0,1
DF,CH,Single carcass,Herbivore,S,2,PD,1,1,0,0,0,1,1,1
DF,CH,Single carcass,Herbivore,S,4,PD,1,1,1,1,1,1,0,1
DF,CH,Single carcass,Herbivore,W,1,PD,1,1,1,1,1,0,1,1
DF,CH,Single carcass,Herbivore,W,3,PD,1,1,1,0,1,0,1,1
DF,CH,Single carcass,Herbivore,W,4,PD,1,1,0,1,1,0,1,1
DF,CO,Single carcass,Open,E,1,PD,0,1,1,1,1,1,1,1
DF,CO,Single carcass,Open,E,3,PD,0,1,1,1,1,1,1,1
DF,CO,Single carcass,Open,E,4,PD,1,1,0,1,1,1,1,1
DF,CO,Single carcass,Open,N,1,PD,0,1,1,1,1,1,1,1
DF,CO,Single carcass,Open,N,3,PD,0,1,1,1,1,1,1,1
DF,CO,Single carcass,Open,S,1,PD,0,1,1,1,1,1,1,1
DF,CO,Single carcass,Open,S,2,PD,0,1,1,1,1,1,1,1
DF,CO,Single carcass,Open,W,1,PD,0,1,1,1,1,1,1,1
DF,CO,Single carcass,Open,W,3,PD,0,1,1,1,1,1,1,1
DF,CO,Single carcass,Open,W,4,PD,0,1,1,1,1,1,1,1
DF,CS,Single carcass,Scavenger,N,4,PD,1,1,1,0,1,1,0,1
DF,CS,Single carcass,Scavenger,S,1,PD,1,1,0,0,0,0,1,1
DF,CS,Single carcass,Scavenger,S,3,PD,1,1,1,1,1,1,0,1
DF,CS,Single carcass,Scavenger,S,4,PD,1,1,1,0,1,1,0,1
DF,CS,Single carcass,Scavenger,W,1,PD,0,1,1,1,1,1,1,1
DF,CS,Single carcass,Scavenger,W,2,PD,0,1,1,1,1,1,1,1
DF,CS,Single carcass,Scavenger,W,3,PD,1,1,0,1,1,1,1,1
DF,MH,MME,Herbivore,E,2,PD,0,1,1,1,1,1,1,1
DF,MH,MME,Herbivore,E,4,PD,0,1,1,1,1,1,1,1
DF,MH,MME,Herbivore,N,4,PD,0,1,1,1,1,1,1,1
DF,MH,MME,Herbivore,S,1,PD,1,1,0,0,0,0,0,1
DF,MH,MME,Herbivore,S,3,PD,1,1,1,0,0,0,0,1
DF,MO,MME,Open,E,3,PD,1,1,1,0,0,1,1,1
DF,MO,MME,Open,S,3,PD,1,1,0,0,0,1,0,0
DF,MO,MME,Open,W,1,PD,1,1,1,0,1,0,0,1
DF,MS,MME,Scavenger,E,1,PD,1,1,0,0,1,1,1,1
DF,MS,MME,Scavenger,E,3,PD,1,1,1,1,1,1,0,1
DF,MS,MME,Scavenger,N,1,PD,1,1,0,0,0,0,0,1
DF,MS,MME,Scavenger,N,2,PD,1,1,1,1,0,1,1,1
DF,MS,MME,Scavenger,N,4,PD,1,1,1,1,0,1,1,1
DF,MS,MME,Scavenger,S,1,PD,1,1,1,0,0,1,1,1
DF,MS,MME,Scavenger,S,2,PD,1,1,1,0,0,0,1,1
DF,MS,MME,Scavenger,S,3,PD,0,1,1,1,1,1,1,1
DF,MS,MME,Scavenger,W,1,PD,1,1,1,1,1,1,1,0
DF,MS,MME,Scavenger,W,2,PD,0,1,1,1,1,1,1,1
DF,MS,MME,Scavenger,W,3,PD,1,1,1,1,1,1,0,1
DF,MS,MME,Scavenger,W,4,PD,1,1,1,1,1,1,1,0
GG,CH,Single carcass,Herbivore,E,1,PD,1,1,1,1,1,1,0,1
GG,CH,Single carcass,Herbivore,E,3,PD,0,1,1,1,1,1,1,1
GG,CH,Single carcass,Herbivore,E,4,PD,1,1,1,1,1,0,1,1
GG,CH,Single carcass,Herbivore,N,1,PD,0,1,1,1,1,1,1,1
GG,CH,Single carcass,Herbivore,N,3,PD,0,1,1,1,1,1,1,1
GG,CH,Single carcass,Herbivore,N,4,PD,0,1,1,1,1,1,1,1
GG,CH,Single carcass,Herbivore,S,1,PD,0,1,1,1,1,1,1,1
GG,CH,Single carcass,Herbivore,S,2,PD,1,1,0,1,1,1,1,1
GG,CH,Single carcass,Herbivore,S,3,PD,0,1,1,1,1,1,1,1
GG,CH,Single carcass,Herbivore,S,4,PD,0,1,1,1,1,1,1,1
GG,CH,Single carcass,Herbivore,W,1,PD,1,1,1,1,1,0,1,1
GG,CH,Single carcass,Herbivore,W,2,PD,0,1,1,1,1,1,1,1
GG,CH,Single carcass,Herbivore,W,3,PD,0,1,1,1,1,1,1,1
GG,CH,Single carcass,Herbivore,W,4,PD,0,1,1,1,1,1,1,1
GG,CO,Single carcass,Open,E,1,PD,1,1,1,1,1,1,1,0
GG,CO,Single carcass,Open,E,2,PD,1,1,1,0,1,1,1,1
GG,CO,Single carcass,Open,E,3,PD,0,1,1,1,1,1,1,1
GG,CO,Single carcass,Open,E,4,PD,1,1,1,1,1,0,1,1
GG,CO,Single carcass,Open,N,1,PD,1,1,1,1,1,1,1,0
GG,CO,Single carcass,Open,N,3,PD,0,1,1,1,1,1,1,1
GG,CO,Single carcass,Open,N,4,PD,0,1,1,1,1,1,1,1
GG,CO,Single carcass,Open,S,1,PD,1,1,1,1,1,1,0,0
GG,CO,Single carcass,Open,S,2,PD,1,1,1,1,1,0,0,1
GG,CO,Single carcass,Open,S,3,PD,0,1,1,1,1,1,1,1
GG,CO,Single carcass,Open,S,4,PD,1,1,1,1,1,1,0,1
GG,CO,Single carcass,Open,W,1,PD,1,1,1,1,0,1,0,1
GG,CO,Single carcass,Open,W,4,PD,0,1,1,1,1,1,1,1
GG,CS,Single carcass,Scavenger,E,1,PD,1,1,1,0,1,0,1,1
GG,CS,Single carcass,Scavenger,E,2,PD,1,1,1,0,0,0,0,1
GG,CS,Single carcass,Scavenger,E,3,PD,1,1,1,1,1,0,1,1
GG,CS,Single carcass,Scavenger,E,4,PD,0,1,1,1,1,1,1,1
GG,CS,Single carcass,Scavenger,N,1,PD,0,1,1,1,1,1,1,1
GG,CS,Single carcass,Scavenger,N,2,PD,1,1,1,1,0,0,1,1
GG,CS,Single carcass,Scavenger,N,3,PD,0,1,1,1,1,1,1,1
GG,CS,Single carcass,Scavenger,N,4,PD,1,1,0,1,1,0,1,1
GG,CS,Single carcass,Scavenger,S,1,PD,0,1,1,1,1,1,1,1
GG,CS,Single carcass,Scavenger,S,2,PD,1,1,0,1,0,1,0,1
GG,CS,Single carcass,Scavenger,S,3,PD,1,1,1,1,0,0,0,1
GG,CS,Single carcass,Scavenger,S,4,PD,1,1,1,1,1,1,1,0
GG,CS,Single carcass,Scavenger,W,1,PD,1,1,0,1,1,0,1,1
GG,CS,Single carcass,Scavenger,W,2,PD,0,1,1,1,1,1,1,1
GG,CS,Single carcass,Scavenger,W,3,PD,1,1,0,1,0,0,0,1
GG,CS,Single carcass,Scavenger,W,4,PD,1,1,1,0,1,0,0,1
GG,MH,MME,Herbivore,E,1,PD,1,1,0,1,1,0,1,0
GG,MH,MME,Herbivore,E,2,PD,1,1,1,0,0,1,0,0
GG,MH,MME,Herbivore,E,3,PD,1,1,1,0,0,0,1,1
GG,MH,MME,Herbivore,E,4,PD,1,1,1,1,1,0,1,0
GG,MH,MME,Herbivore,N,1,PD,0,1,1,1,1,1,1,1
GG,MH,MME,Herbivore,N,2,PD,1,1,1,1,1,1,1,0
GG,MH,MME,Herbivore,N,3,PD,0,1,1,1,1,1,1,1
