"Site","Treatment","Carrion","Exclusion","Rounded.date","Date","DormancyClass","Cover"
"DF","CH","Low","Herbivore","2019-03-17","2019-03-14","ND",0
"DF","CH","Low","Herbivore","2019-03-17","2019-03-14","PD",0.68
"DF","CH","Low","Herbivore","2019-03-17","2019-03-14","PY",0
"DF","CH","Low","Herbivore","2019-03-17","2019-03-14",NA,0
"DF","CH","Low","Herbivore","2019-04-21","2019-04-21","ND",0
"DF","CH","Low","Herbivore","2019-04-21","2019-04-21","PD",1.06
"DF","CH","Low","Herbivore","2019-04-21","2019-04-21","PY",0
"DF","CH","Low","Herbivore","2019-04-21","2019-04-21",NA,0.38
"DF","CH","Low","Herbivore","2019-05-05","2019-05-06","ND",0
"DF","CH","Low","Herbivore","2019-05-05","2019-05-06","PD",0.87
"DF","CH","Low","Herbivore","2019-05-05","2019-05-06","PY",0.06
"DF","CH","Low","Herbivore","2019-05-05","2019-05-06",NA,0.19
"DF","CH","Low","Herbivore","2019-06-02","2019-06-02","ND",0.13
"DF","CH","Low","Herbivore","2019-06-02","2019-06-02","PD",1.37
"DF","CH","Low","Herbivore","2019-06-02","2019-06-02","PY",0
"DF","CH","Low","Herbivore","2019-06-02","2019-06-02",NA,0.43
"DF","CH","Low","Herbivore","2019-07-21","2019-07-21","ND",0.25
"DF","CH","Low","Herbivore","2019-07-21","2019-07-21","PD",0.63
"DF","CH","Low","Herbivore","2019-07-21","2019-07-21","PY",0.63
"DF","CH","Low","Herbivore","2019-07-21","2019-07-21",NA,0.25
"DF","CH","Low","Herbivore","2020-07-19","2020-07-22","ND",0
"DF","CH","Low","Herbivore","2020-07-19","2020-07-22","PD",0.5
"DF","CH","Low","Herbivore","2020-07-19","2020-07-22","PY",0
"DF","CH","Low","Herbivore","2020-07-19","2020-07-22",NA,0.44
"DF","CH","Low","Herbivore","2021-07-18","2021-07-20","ND",0
"DF","CH","Low","Herbivore","2021-07-18","2021-07-20","PD",1.37
"DF","CH","Low","Herbivore","2021-07-18","2021-07-20","PY",0
"DF","CH","Low","Herbivore","2021-07-18","2021-07-20",NA,0
"DF","CO","Low","Open","2019-03-17","2019-03-14","ND",0
"DF","CO","Low","Open","2019-03-17","2019-03-14","PD",0.88
"DF","CO","Low","Open","2019-03-17","2019-03-14","PY",0
"DF","CO","Low","Open","2019-03-17","2019-03-14",NA,0
"DF","CO","Low","Open","2019-04-21","2019-04-21","ND",0
"DF","CO","Low","Open","2019-04-21","2019-04-21","PD",1.12
"DF","CO","Low","Open","2019-04-21","2019-04-21","PY",0.06
"DF","CO","Low","Open","2019-04-21","2019-04-21",NA,0
"DF","CO","Low","Open","2019-05-05","2019-05-06","ND",0
"DF","CO","Low","Open","2019-05-05","2019-05-06","PD",1.31
"DF","CO","Low","Open","2019-05-05","2019-05-06","PY",0.19
"DF","CO","Low","Open","2019-05-05","2019-05-06",NA,0.06
"DF","CO","Low","Open","2019-06-02","2019-06-02","ND",0
"DF","CO","Low","Open","2019-06-02","2019-06-02","PD",2.63
"DF","CO","Low","Open","2019-06-02","2019-06-02","PY",0
"DF","CO","Low","Open","2019-06-02","2019-06-02",NA,0
"DF","CO","Low","Open","2019-07-21","2019-07-21","ND",0.06
"DF","CO","Low","Open","2019-07-21","2019-07-21","PD",2.13
"DF","CO","Low","Open","2019-07-21","2019-07-21","PY",0
"DF","CO","Low","Open","2019-07-21","2019-07-21",NA,0.06
"DF","CO","Low","Open","2020-07-19","2020-07-22","ND",0
"DF","CO","Low","Open","2020-07-19","2020-07-22","PD",1.01
"DF","CO","Low","Open","2020-07-19","2020-07-22","PY",0
"DF","CO","Low","Open","2020-07-19","2020-07-22",NA,0.06
"DF","CO","Low","Open","2021-07-18","2021-07-20","ND",0
"DF","CO","Low","Open","2021-07-18","2021-07-20","PD",1.31
"DF","CO","Low","Open","2021-07-18","2021-07-20","PY",0
"DF","CO","Low","Open","2021-07-18","2021-07-20",NA,0
"DF","CS","Low","Scavenger","2019-03-17","2019-03-14","ND",0.06
"DF","CS","Low","Scavenger","2019-03-17","2019-03-14","PD",0.44
"DF","CS","Low","Scavenger","2019-03-17","2019-03-14","PY",0
"DF","CS","Low","Scavenger","2019-03-17","2019-03-14",NA,0.24
"DF","CS","Low","Scavenger","2019-04-21","2019-04-21","ND",0
"DF","CS","Low","Scavenger","2019-04-21","2019-04-21","PD",0.74
"DF","CS","Low","Scavenger","2019-04-21","2019-04-21","PY",0.06
"DF","CS","Low","Scavenger","2019-04-21","2019-04-21",NA,0.13
"DF","CS","Low","Scavenger","2019-05-05","2019-05-06","ND",0
"DF","CS","Low","Scavenger","2019-05-05","2019-05-06","PD",0.81
"DF","CS","Low","Scavenger","2019-05-05","2019-05-06","PY",0
"DF","CS","Low","Scavenger","2019-05-05","2019-05-06",NA,0.5
"DF","CS","Low","Scavenger","2019-06-02","2019-06-02","ND",0.06
"DF","CS","Low","Scavenger","2019-06-02","2019-06-02","PD",1.07
"DF","CS","Low","Scavenger","2019-06-02","2019-06-02","PY",0
"DF","CS","Low","Scavenger","2019-06-02","2019-06-02",NA,0.44
"DF","CS","Low","Scavenger","2019-07-21","2019-07-21","ND",0.06
"DF","CS","Low","Scavenger","2019-07-21","2019-07-21","PD",0.94
"DF","CS","Low","Scavenger","2019-07-21","2019-07-21","PY",0.25
"DF","CS","Low","Scavenger","2019-07-21","2019-07-21",NA,0.38
"DF","CS","Low","Scavenger","2020-07-19","2020-07-22","ND",0.13
"DF","CS","Low","Scavenger","2020-07-19","2020-07-22","PD",0.57
"DF","CS","Low","Scavenger","2020-07-19","2020-07-22","PY",0
"DF","CS","Low","Scavenger","2020-07-19","2020-07-22",NA,0.44
"DF","CS","Low","Scavenger","2021-07-18","2021-07-20","ND",0
"DF","CS","Low","Scavenger","2021-07-18","2021-07-20","PD",1.37
"DF","CS","Low","Scavenger","2021-07-18","2021-07-20","PY",0
"DF","CS","Low","Scavenger","2021-07-18","2021-07-20",NA,0
"DF","MH","High","Herbivore","2019-03-17","2019-03-14","ND",0.13
"DF","MH","High","Herbivore","2019-03-17","2019-03-14","PD",0.31
"DF","MH","High","Herbivore","2019-03-17","2019-03-14","PY",0
"DF","MH","High","Herbivore","2019-03-17","2019-03-14",NA,0.26
"DF","MH","High","Herbivore","2019-04-21","2019-04-21","ND",0
"DF","MH","High","Herbivore","2019-04-21","2019-04-21","PD",0.82
"DF","MH","High","Herbivore","2019-04-21","2019-04-21","PY",0
"DF","MH","High","Herbivore","2019-04-21","2019-04-21",NA,0.13
"DF","MH","High","Herbivore","2019-05-05","2019-05-06","ND",0
"DF","MH","High","Herbivore","2019-05-05","2019-05-06","PD",0.68
"DF","MH","High","Herbivore","2019-05-05","2019-05-06","PY",0
"DF","MH","High","Herbivore","2019-05-05","2019-05-06",NA,0.13
"DF","MH","High","Herbivore","2019-06-02","2019-06-02","ND",0
"DF","MH","High","Herbivore","2019-06-02","2019-06-02","PD",0.68
"DF","MH","High","Herbivore","2019-06-02","2019-06-02","PY",0
"DF","MH","High","Herbivore","2019-06-02","2019-06-02",NA,0.57
"DF","MH","High","Herbivore","2019-07-21","2019-07-21","ND",0.31
"DF","MH","High","Herbivore","2019-07-21","2019-07-21","PD",0.56
"DF","MH","High","Herbivore","2019-07-21","2019-07-21","PY",0.19
"DF","MH","High","Herbivore","2019-07-21","2019-07-21",NA,0.5
"DF","MH","High","Herbivore","2020-07-19","2020-07-22","ND",0.44
"DF","MH","High","Herbivore","2020-07-19","2020-07-22","PD",0.75
"DF","MH","High","Herbivore","2020-07-19","2020-07-22","PY",0.06
"DF","MH","High","Herbivore","2020-07-19","2020-07-22",NA,0
"DF","MH","High","Herbivore","2021-07-18","2021-07-20","ND",0.12
"DF","MH","High","Herbivore","2021-07-18","2021-07-20","PD",1.68
"DF","MH","High","Herbivore","2021-07-18","2021-07-20","PY",0.12
"DF","MH","High","Herbivore","2021-07-18","2021-07-20",NA,0.12
"DF","MO","High","Open","2019-03-17","2019-03-14","ND",0.13
"DF","MO","High","Open","2019-03-17","2019-03-14","PD",0.18
"DF","MO","High","Open","2019-03-17","2019-03-14","PY",0
"DF","MO","High","Open","2019-03-17","2019-03-14",NA,0.44
"DF","MO","High","Open","2019-04-21","2019-04-21","ND",0.06
"DF","MO","High","Open","2019-04-21","2019-04-21","PD",0.25
"DF","MO","High","Open","2019-04-21","2019-04-21","PY",0
"DF","MO","High","Open","2019-04-21","2019-04-21",NA,0.56
"DF","MO","High","Open","2019-05-05","2019-05-06","ND",0.06
"DF","MO","High","Open","2019-05-05","2019-05-06","PD",0.43
"DF","MO","High","Open","2019-05-05","2019-05-06","PY",0
"DF","MO","High","Open","2019-05-05","2019-05-06",NA,0.5
"DF","MO","High","Open","2019-06-02","2019-06-02","ND",0.06
"DF","MO","High","Open","2019-06-02","2019-06-02","PD",0.63
"DF","MO","High","Open","2019-06-02","2019-06-02","PY",0
"DF","MO","High","Open","2019-06-02","2019-06-02",NA,1.12
"DF","MO","High","Open","2019-07-21","2019-07-21","ND",0.06
"DF","MO","High","Open","2019-07-21","2019-07-21","PD",0.63
"DF","MO","High","Open","2019-07-21","2019-07-21","PY",0.06
"DF","MO","High","Open","2019-07-21","2019-07-21",NA,0.75
"DF","MO","High","Open","2020-07-19","2020-07-22","ND",0.25
