"SITE","DATE","TREATMENT","MH","SPECIES","HEIGHT","INFLOR"
"WP",2020-07-22,"CS","N","AMDR",62,NA
"WP",2020-07-22,"CS","N","AMDR",53,NA
"WP",2020-07-22,"CO","N","AMDR",34,NA
"WP",2020-07-22,"CO","N","AMDR",53,NA
"WP",2020-07-22,"CO","N","AMDR",35,NA
"WP",2020-07-22,"CO","N","AMDR",28,NA
"WP",2020-07-22,"CO","N","AMDR",63,NA
"WP",2020-07-22,"REF","N","AMDR",35,NA
"WP",2020-07-22,"REF","N","AMDR",22,NA
"WP",2020-07-22,"REF","N","AMDR",23,NA
"WP",2020-07-22,"REF","N","AMDR",40,NA
"WP",2020-07-22,"REF","N","AMDR",24,NA
"WP",2020-07-22,"MH","Y","AMDR",62,NA
"WP",2020-07-22,"MH","Y","AMDR",54,NA
"WP",2020-07-22,"MH","Y","AMDR",58,NA
"WP",2020-07-22,"MH","Y","AMDR",54,NA
"WP",2020-07-22,"MH","Y","AMDR",74,NA
"WP",2020-07-22,"MS","N","AMDR",72,NA
"WP",2020-07-22,"MS","N","AMDR",81,NA
"WP",2020-07-22,"MS","N","AMDR",77,NA
"WP",2020-07-22,"MS","N","AMDR",41,NA
"WP",2020-07-22,"MS","N","AMDR",24,NA
"WP",2020-07-22,"MS","N","AMDR",83,NA
"WP",2020-07-22,"MO","N","AMDR",56,NA
"WP",2020-07-22,"MO","N","AMDR",48,NA
"WP",2020-07-22,"MO","N","AMDR",46,NA
"WP",2020-07-22,"MO","N","AMDR",68,NA
"WP",2020-07-22,"MO","N","AMDR",38,NA
"WP",2020-07-22,"MH-B","N","AMDR",54,NA
"WP",2020-07-22,"MH-B","N","AMDR",75,NA
"WP",2020-07-22,"MH-B","N","AMDR",68,NA
"WP",2020-07-22,"MH-B","N","AMDR",84,NA
"WP",2020-07-22,"MH-B","N","AMDR",64,NA
"WP",2020-07-22,"MS-B","N","AMDR",76,NA
"WP",2020-07-22,"MS-B","N","AMDR",39,NA
"WP",2020-07-22,"MS-B","N","AMDR",72,NA
"WP",2020-07-22,"MS-B","N","AMDR",77,NA
"WP",2020-07-22,"MS-B","N","AMDR",58,NA
"OS",2020-07-22,"MH","Y","AMDR",118,NA
"OS",2020-07-22,"MH","Y","AMDR",70,NA
"OS",2020-07-22,"MH","Y","AMDR",74,NA
"OS",2020-07-22,"MS","N","AMDR",63,NA
"OS",2020-07-22,"MS","N","AMDR",73,NA
"OS",2020-07-22,"MS","N","AMDR",62,NA
"OS",2020-07-22,"MS","N","AMDR",81,NA
"OS",2020-07-22,"MS","N","AMDR",62,NA
"WP",2021-07-22,"MH","Y","LASE",153.1,691
"WP",2021-07-22,"MH","Y","LASE",157.5,366
"WP",2021-07-22,"MH","Y","LASE",123.2,112
"OS",2021-07-22,"MH","Y","LASE",112.3,249
"OS",2021-07-22,"MH","Y","LASE",73.3,94
"OS",2021-07-22,"MH","Y","LASE",124.1,500
"OS",2021-07-22,"MH","Y","LASE",123.2,333
"OS",2021-07-22,"MH","Y","LASE",164.7,634
"GG",2021-07-22,"CS","N","LASE",57.1,106
"GG",2021-07-22,"CS","N","LASE",80.5,59
"GG",2021-07-22,"CS","N","LASE",92.9,80
"GG",2021-07-22,"CS","N","LASE",59.2,74
"GG",2021-07-22,"CS","N","LASE",62,61
"GG",2021-07-22,"MS","N","LASE",69.8,150
"GG",2021-07-22,"NONE","N","LASE",46.4,33
"GG",2021-07-22,"MH","Y","LASE",146.3,482
"GG",2021-07-22,"MH","Y","LASE",171.8,715
"GG",2021-07-22,"MH","Y","LASE",151.8,601
"GG",2021-07-22,"MH","Y","LASE",160.2,466
"GG",2021-07-22,"MH","Y","LASE",97.5,273
"GATE",2021-07-22,"NONE","N","LASE",104.9,120
"GATE",2021-07-22,"NONE","N","LASE",104.9,202
"GATE",2021-07-22,"NONE","N","LASE",95.1,393
"GATE",2021-07-22,"NONE","N","LASE",99.4,94
"GATE",2021-07-22,"NONE","N","LASE",106.3,133
"GATE",2021-07-22,"NONE","N","LASE",108.9,208
