DATE,SITE,BIOMASS,EXCLUSION,VARIABLE,EFFECT.SIZE
8/1/2020,DF,MME,Herbivore,N,0.50
8/1/2020,DF,MME,Herbivore,Ca,-0.18
8/1/2020,DF,MME,Herbivore,K,0.74
8/1/2020,DF,MME,Herbivore,Mg,0.07
8/1/2020,DF,MME,Herbivore,P,0.71
8/1/2020,DF,MME,Herbivore,S,0.24
8/1/2020,DF,MME,Herbivore,Cu,0.28
8/1/2020,DF,MME,Herbivore,Zn,-0.06
8/1/2020,DF,MME,Herbivore,Mn,-0.09
8/1/2020,DF,MME,Herbivore,Fe,-0.34
8/1/2020,DF,MME,Herbivore,B,-0.24
8/1/2020,DF,Single carcass,Herbivore,N,0.08
8/1/2020,DF,Single carcass,Herbivore,Ca,0.27
8/1/2020,DF,Single carcass,Herbivore,K,0.58
8/1/2020,DF,Single carcass,Herbivore,Mg,0.12
8/1/2020,DF,Single carcass,Herbivore,P,0.42
8/1/2020,DF,Single carcass,Herbivore,S,0.27
8/1/2020,DF,Single carcass,Herbivore,Cu,0.04
8/1/2020,DF,Single carcass,Herbivore,Zn,-0.42
8/1/2020,DF,Single carcass,Herbivore,Mn,0.02
8/1/2020,DF,Single carcass,Herbivore,Fe,-0.26
8/1/2020,DF,Single carcass,Herbivore,B,-0.62
8/1/2020,DF,MME,Open,N,0.15
8/1/2020,DF,MME,Open,Ca,0.15
8/1/2020,DF,MME,Open,K,0.16
8/1/2020,DF,MME,Open,Mg,0.18
8/1/2020,DF,MME,Open,P,0.36
8/1/2020,DF,MME,Open,S,0.07
8/1/2020,DF,MME,Open,Cu,-0.20
8/1/2020,DF,MME,Open,Zn,-0.25
8/1/2020,DF,MME,Open,Mn,-0.09
8/1/2020,DF,MME,Open,Fe,-0.25
8/1/2020,DF,MME,Open,B,0.00
8/1/2020,DF,Single carcass,Open,N,0.15
8/1/2020,DF,Single carcass,Open,Ca,0.08
8/1/2020,DF,Single carcass,Open,K,0.65
8/1/2020,DF,Single carcass,Open,Mg,0.10
8/1/2020,DF,Single carcass,Open,P,0.31
8/1/2020,DF,Single carcass,Open,S,0.16
8/1/2020,DF,Single carcass,Open,Cu,0.15
8/1/2020,DF,Single carcass,Open,Zn,0.19
8/1/2020,DF,Single carcass,Open,Mn,0.57
8/1/2020,DF,Single carcass,Open,Fe,-0.20
8/1/2020,DF,Single carcass,Open,B,0.12
8/1/2020,DF,MME,Scavenger,N,0.96
8/1/2020,DF,MME,Scavenger,Ca,2.12
8/1/2020,DF,MME,Scavenger,K,1.51
8/1/2020,DF,MME,Scavenger,Mg,1.83
8/1/2020,DF,MME,Scavenger,P,1.19
8/1/2020,DF,MME,Scavenger,S,2.27
8/1/2020,DF,MME,Scavenger,Cu,0.04
8/1/2020,DF,MME,Scavenger,Zn,0.52
8/1/2020,DF,MME,Scavenger,Mn,0.78
8/1/2020,DF,MME,Scavenger,Fe,-0.16
8/1/2020,DF,MME,Scavenger,B,1.95
8/1/2020,DF,Single carcass,Scavenger,N,-0.08
8/1/2020,DF,Single carcass,Scavenger,Ca,0.03
8/1/2020,DF,Single carcass,Scavenger,K,0.37
8/1/2020,DF,Single carcass,Scavenger,Mg,0.04
8/1/2020,DF,Single carcass,Scavenger,P,0.12
8/1/2020,DF,Single carcass,Scavenger,S,-0.04
8/1/2020,DF,Single carcass,Scavenger,Cu,-0.48
8/1/2020,DF,Single carcass,Scavenger,Zn,-0.22
8/1/2020,DF,Single carcass,Scavenger,Mn,-0.20
8/1/2020,DF,Single carcass,Scavenger,Fe,-0.40
8/1/2020,DF,Single carcass,Scavenger,B,-0.52
5/4/2021,DF,MME,Herbivore,N,0.38
5/4/2021,DF,MME,Herbivore,Ca,0.04
5/4/2021,DF,MME,Herbivore,K,1.21
5/4/2021,DF,MME,Herbivore,Mg,0.00
5/4/2021,DF,MME,Herbivore,P,1.57
5/4/2021,DF,MME,Herbivore,S,1.06
5/4/2021,DF,MME,Herbivore,Cu,-0.19
5/4/2021,DF,MME,Herbivore,Zn,-0.45
5/4/2021,DF,MME,Herbivore,Mn,0.73
5/4/2021,DF,MME,Herbivore,Fe,-0.02
5/4/2021,DF,MME,Herbivore,B,-1.00
5/4/2021,DF,Single carcass,Herbivore,N,0.40
5/4/2021,DF,Single carcass,Herbivore,Ca,-0.03
5/4/2021,DF,Single carcass,Herbivore,K,1.08
5/4/2021,DF,Single carcass,Herbivore,Mg,-0.29
5/4/2021,DF,Single carcass,Herbivore,P,1.27
5/4/2021,DF,Single carcass,Herbivore,S,0.65
5/4/2021,DF,Single carcass,Herbivore,Cu,-0.13
5/4/2021,DF,Single carcass,Herbivore,Zn,-0.96
5/4/2021,DF,Single carcass,Herbivore,Mn,0.18
5/4/2021,DF,Single carcass,Herbivore,Fe,-0.08
