GENUS.SPECIES,DORMANCY.CLASS
Abarema jupunba,ND
Abdulmajidia chaniana,PD
Abelia dielsii,MPD
Abeliophyllum distichum,PD
Abelmoschus esculenta,PY
Abelmoschus moschatus,PY
Abies alba,PD
Abies amabilis,PD
Abies balsamea,PD
Abies chensiensis,PD
Abies concolor,PD
Abies densa,PD
Abies firma,PD
Abies firma,PD
Abies fraseri,PD
Abies grandis,PD
Abies guatemalensis,PD
Abies homolepis,PD
Abies lasiocarpa,PD
Abies magnifica,PD
Abies mariesii,PD
Abies mayriana,PD
Abies mexicana,PD
Abies nordmanniana,PD
Abies pindrow,PD
Abies procera,PD
Abies religiosa,PD
Abies sachalinensis,PD
Abies sibirica,PD
Abies spectabilis,PD
Abies veitchii,PD
Abroma augusta,ND
Abronia fragrans,PD
Abronia maritima,PD
Abronia umbellata,PD
Abronia umbellata,PD
Abronia villosa,PD
Abrus praecatorius,PY
Abrus precatorius,PY
Abrus precatorius,PY
Abrus precatorius,PY
Abrus precatorius,PY
Abuta panamensis,PD
Abutilon eremitopetalum,PY
Abutilon fruticosum,PY
Abutilon indicum,PY
Abutilon indicum,PY
Abutilon longicuspe,PY
Abutilon menziesii,PY
Abutilon sandwicense,PY
Abutilon theophrasti,PY
Acacia abyssinica,PY
Acacia acuminata,PY
Acacia adsurgens,PY
Acacia adsurgens,PY
Acacia albida,PY
Acacia ammobia,PY
Acacia ampliceps,PY
Acacia ampliceps,PY
Acacia aneura,PY
Acacia aneura,PY
Acacia angustissima,PY
Acacia aprica,PY
Acacia arabica,PY
Acacia aristulata,PY
Acacia aroma,PY
Acacia aroma,PY
Acacia asak,PY
Acacia ataxacantha,ND
Acacia ataxiphylla,PY
Acacia atramentaria,PY
Acacia aulacocarpa,PY
Acacia aulacocarpa,PY
Acacia auratiflora,PY
Acacia aureocrinita,PY
Acacia auriculiformis,PY
Acacia ausfeldii,PY
Acacia awestoniana,PY
Acacia bakeri,PY
Acacia benthamii,PY
Acacia berlandieri,PY
Acacia bonariensis,PY
Acacia brachypoda,PY
Acacia brachystachya,PY
Acacia brassii,PY
Acacia brevispica,PY
Acacia browniana,PY
Acacia burkei,PY
Acacia burrowii,PY
Acacia bynoeana,PY
Acacia caffra,ND
Acacia caffra,PY
Acacia calcicola,PY
Acacia cambagei,PY
Acacia catechu,PY
Acacia caven,PY
Acacia caven,PY
Acacia caven,PY
Acacia caven,PY
Acacia chrysotricha,PY
Acacia cincinnata,PY
Acacia citrinoviridis,PY
Acacia clunies-rossiae,PY
Acacia cochliacantha,PY
Acacia cochlocarpa,PY
Acacia colei,PY
Acacia colei,PY
Acacia concinna,PY
Acacia confusa,PY
Acacia conspersa,PY
Acacia constricta,PY
Acacia coriacea,PY
Acacia coriacea,PY
Acacia cornigera,ND
Acacia costiniana,PY
Acacia courtii,PY
Acacia cowleana,PY
Acacia cowleana,PY
Acacia craspedocarpa,PY
Acacia crassicarpa,PY
Acacia cyanophylla,PY
Acacia cyclops,PY
Acacia dealbata,PY
Acacia deanei,PY
Acacia difficilis,PY
Acacia disparrima,PY
Acacia distans,PY
Acacia distans,PY
Acacia drepanolobium,ND
Acacia drummondii,PY
Acacia dudgeoni,ND
Acacia dudgeoni,PY
Acacia dunnii,PY
Acacia ehrenbergiana,ND
Acacia ehrenbergiana,PY
Acacia elata,PY
Acacia erioloba,PY
Acacia erioloba,PY
Acacia eriopoda,PY
Acacia eriopoda,PY
