"SITE","BIOMASS","EXCL","PACKET","TYPE","SURV","REF","diff"
"DF","Low biomass","H","Rain
adjacent","No dormancy",0,0,0
"DF","Low biomass","H","Rain
adjacent","Physiological dormancy",0.333333333333333,0.333333333333333,0
"DF","Low biomass","H","Rain
adjacent","Physical dormancy",0.4,0,0.4
"DF","Low biomass","H","Rain
proximal","No dormancy",0,0,0
"DF","Low biomass","H","Rain
proximal","Physiological dormancy",0,0.333333333333333,-0.333333333333333
"DF","Low biomass","H","Rain
proximal","Physical dormancy",0.4,0,0.4
"DF","Low biomass","H","Bank
adjacent","No dormancy",0.2,0,0.2
"DF","Low biomass","H","Bank
adjacent","Physiological dormancy",0,1,-1
"DF","Low biomass","H","Bank
adjacent","Physical dormancy",0,0,0
"DF","Low biomass","H","Bank
proximal","No dormancy",0,0,0
"DF","Low biomass","H","Bank
proximal","Physiological dormancy",0,1,-1
"DF","Low biomass","H","Bank
proximal","Physical dormancy",0,0,0
"DF","Low biomass","O","Rain
adjacent","No dormancy",0.2,0,0.2
"DF","Low biomass","O","Rain
adjacent","Physiological dormancy",0.333333333333333,0.333333333333333,0
"DF","Low biomass","O","Rain
adjacent","Physical dormancy",0.4,0,0.4
"DF","Low biomass","O","Rain
proximal","No dormancy",0.1,0,0.1
"DF","Low biomass","O","Rain
proximal","Physiological dormancy",0.666666666666667,0.333333333333333,0.333333333333333
"DF","Low biomass","O","Rain
proximal","Physical dormancy",0.2,0,0.2
"DF","Low biomass","O","Bank
adjacent","No dormancy",0.4,0,0.4
"DF","Low biomass","O","Bank
adjacent","Physiological dormancy",0.333333333333333,1,-0.666666666666667
"DF","Low biomass","O","Bank
adjacent","Physical dormancy",0.8,0,0.8
"DF","Low biomass","O","Bank
proximal","No dormancy",0,0,0
"DF","Low biomass","O","Bank
proximal","Physiological dormancy",0,1,-1
"DF","Low biomass","O","Bank
proximal","Physical dormancy",0.2,0,0.2
"DF","Low biomass","S","Rain
adjacent","No dormancy",0.3,0,0.3
"DF","Low biomass","S","Rain
adjacent","Physiological dormancy",1,0.333333333333333,0.666666666666667
"DF","Low biomass","S","Rain
adjacent","Physical dormancy",0.4,0,0.4
"DF","Low biomass","S","Rain
proximal","No dormancy",0,0,0
"DF","Low biomass","S","Rain
proximal","Physiological dormancy",0,0.333333333333333,-0.333333333333333
"DF","Low biomass","S","Rain
proximal","Physical dormancy",0.4,0,0.4
"DF","Low biomass","S","Bank
adjacent","No dormancy",0.3,0,0.3
"DF","Low biomass","S","Bank
adjacent","Physiological dormancy",0.333333333333333,1,-0.666666666666667
"DF","Low biomass","S","Bank
adjacent","Physical dormancy",0.4,0,0.4
"DF","Low biomass","S","Bank
proximal","No dormancy",0,0,0
"DF","Low biomass","S","Bank
proximal","Physiological dormancy",0,1,-1
"DF","Low biomass","S","Bank
proximal","Physical dormancy",0,0,0
"DF","High biomass","H","Rain
adjacent","No dormancy",0,0,0
