"DATE","SITE","TREATMENT","TRAP","Genus.species","DormancyClass","Dispersal","Seeds"
"7/21/19","OS","MME","B","Vicia villosa","PY","Endozoochory",0
"7/21/19","DF","MME","B","Vicia villosa","PY","Endozoochory",0
"7/21/19","GG","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"7/21/19","OS","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"7/21/19","DF","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"10/21/19","WP","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"6/1/19","DF","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"10/21/19","GG","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"7/21/19","DF","MME","A","Vicia villosa","PY","Endozoochory",0
"7/21/19","OS","MME","A","Vicia villosa","PY","Endozoochory",0
"7/21/19","OS","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"7/21/19","WP","MME","A","Vicia villosa","PY","Endozoochory",0
"6/1/19","WP","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"5/6/19","DF","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"10/21/19","DF","MME","B","Vicia villosa","PY","Endozoochory",0
"10/21/19","OS","MME","A","Vicia villosa","PY","Endozoochory",0
"6/1/19","OS","MME","B","Vicia villosa","PY","Endozoochory",1
"10/21/19","WP","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"10/21/19","GG","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"5/6/19","GG","MME","A","Vicia villosa","PY","Endozoochory",9
"10/21/19","DF","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"7/21/19","GG","MME","B","Vicia villosa","PY","Endozoochory",0
"6/1/19","OS","CONTROL","A","Vicia villosa","PY","Endozoochory",9
"7/21/19","DF","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"6/1/19","OS","MME","A","Vicia villosa","PY","Endozoochory",0
"5/6/19","WP","MME","B","Vicia villosa","PY","Endozoochory",0
"10/21/19","DF","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"5/6/19","OS","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"5/6/19","DF","MME","A","Vicia villosa","PY","Endozoochory",0
"6/1/19","DF","MME","B","Vicia villosa","PY","Endozoochory",0
"7/21/19","GG","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"6/1/19","GG","CONTROL","B","Vicia villosa","PY","Endozoochory",2
"5/6/19","GG","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"6/1/19","GG","MME","A","Vicia villosa","PY","Endozoochory",22
"10/21/19","WP","MME","A","Vicia villosa","PY","Endozoochory",0
"5/6/19","GG","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"10/21/19","DF","MME","A","Vicia villosa","PY","Endozoochory",0
"6/1/19","DF","MME","A","Vicia villosa","PY","Endozoochory",2
"6/1/19","DF","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"6/1/19","GG","MME","B","Vicia villosa","PY","Endozoochory",9
"6/1/19","OS","CONTROL","B","Vicia villosa","PY","Endozoochory",9
"7/21/19","WP","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"10/21/19","OS","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"10/21/19","OS","MME","B","Vicia villosa","PY","Endozoochory",0
"6/1/19","WP","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"7/21/19","GG","MME","A","Vicia villosa","PY","Endozoochory",0
"5/6/19","DF","MME","B","Vicia villosa","PY","Endozoochory",1
"5/6/19","DF","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"7/21/19","WP","MME","B","Vicia villosa","PY","Endozoochory",0
"10/21/19","GG","MME","B","Vicia villosa","PY","Endozoochory",0
"5/6/19","OS","MME","B","Vicia villosa","PY","Endozoochory",0
"7/21/19","WP","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"5/6/19","OS","MME","A","Vicia villosa","PY","Endozoochory",0
"5/6/19","WP","MME","A","Vicia villosa","PY","Endozoochory",0
"6/1/19","GG","CONTROL","A","Vicia villosa","PY","Endozoochory",2
"6/1/19","WP","MME","B","Vicia villosa","PY","Endozoochory",0
"5/6/19","WP","CONTROL","B","Vicia villosa","PY","Endozoochory",0
"10/21/19","WP","MME","B","Vicia villosa","PY","Endozoochory",0
"5/6/19","WP","CONTROL","A","Vicia villosa","PY","Endozoochory",0
"6/1/19","WP","MME","A","Vicia villosa","PY","Endozoochory",0
"5/6/19","GG","MME","B","Vicia villosa","PY","Endozoochory",2
"5/6/19","OS","CONTROL","A","Vicia villosa","PY","Endozoochory",1
"10/21/19","GG","MME","A","Vicia villosa","PY","Endozoochory",0
"10/21/19","OS","CONTROL","A","Vicia villosa","PY","Endozoochory",0
