"Site","Treatment","Biomass","Fencing","Variable","Date","Measurement","Effect.size"
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-05-19",1,0.14360111064313
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-07-21",2,0.12532229983805
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2021-05-05",3,0.136565021809061
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-05-19",1,0.980829253011726
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-07-21",2,0.747214401830221
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2021-05-05",3,0.259511195485085
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-05-19",1,0.503905180921417
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-07-21",2,0.403821722364434
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2021-05-05",3,0.36183402674876
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-05-19",1,0.0811255448123685
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-07-21",2,0.0413852161628545
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2021-05-05",3,0.106767975425706
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-05-19",1,0.12822417461523
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-07-21",2,0.110882699578743
"DF","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2021-05-05",3,0.148082983264833
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-05-19",1,0.0601539228197471
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-07-21",2,0.0953101798043249
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2021-05-05",3,0.0280041964095973
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-05-19",1,1.23676262714893
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-07-21",2,1.76675816702264
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2021-05-05",3,1.17007125265025
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-05-19",1,0.827269880977394
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-07-21",2,0.991029419911289
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2021-05-05",3,0.504496488714343
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-05-19",1,0.0923733201310151
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-07-21",2,0.0625203569813339
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2021-05-05",3,0.0625203569813339
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-05-19",1,0.0625203569813341
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2020-07-21",2,0.0923733201310153
"GG","MME Herbivore Exclusion","MME","Herbivore Exclusion","Percent Nitrogen","2021-05-05",3,0.0996993602230882
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-05-19",1,-0.258897111264006
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2020-07-21",2,0.105519527405032
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Organic matter","2021-05-05",3,-0.203914976846653
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-05-19",1,2.22161603046038
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2020-07-21",2,3.28341434600577
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Phosphorous","2021-05-05",3,2.0654552997051
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-05-19",1,0.259137153962115
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2020-07-21",2,0.942131963058042
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Potassium","2021-05-05",3,-0.00262123347987419
"OS","MME Herbivore Exclusion","MME","Herbivore Exclusion","Soil pH","2020-05-19",1,-0.0504308536268919
