Family,Scientific Name,SPECIES,Plant Type,Common Name,PASTURE,TRANSECT
Acanthaceae,Dyschoriste linearis,DYLI,Forb,Snakeherb polkadots,2,9
Apiaceae,Chaerophyllum procumbens,CHPR,Forb,"Chervil, Spreading",3,74
Apiaceae,Chaerophyllum spp,CHAER,Forb,Chervil,2,9
Apiaceae,Chaerophyllum tainturieri,CHTA,Forb,Wild chervil,2,9
Apiaceae,Daucus pusillus,DAPU3,Forb,American wild carrot,2,9
Apiaceae,Eryngium leavenworthii,ERLE11,Forb,Leavenworth's eryngo,3,74
Apiaceae,Spermolepis inermis,SPIN,Forb,Red River scaleseed,2,52
Asclepiadaceae,Asclepis asperula,ASAS,Forb,Antelope milkweed,2,7
Asclepiadaceae,Asclepis latifolia,ASLA4,Forb,Broadleaf milkweed,3,74
Asclepiadaceae,Matelea biflora,MABI6,Forb,oldfield milkvine,6,110
Asteraceae,Ambrosia psilostachya,AMPS,Forb,Western ragweed,2,52
Asteraceae,Amphiachyris dracunculoides,AMDR,Forb,Annual broomweed,2,7
Asteraceae,Artemisia ludoviciana,ARLU,Forb,Louisiana sagewort,6,117
Asteraceae,Aster ericoides,ASER3,Forb,Heath Aster,6,117
Asteraceae,Cirsium texanum,CITE2,Forb,Texas thistle,3,74
Asteraceae,Cirsium undulatum,CIUN,Forb,Wavyleaf thistle,6,110
Asteraceae,Conyza canadensis,COCA5,Forb,Marestail,6,110
Asteraceae,Engelmannia peristenia,ENPE4,Forb,Englemann's daisy,2,9
Asteraceae,Erigeron annuus,ERAN,Forb,Daisy fleabane,2,9
Asteraceae,Eupatorium,EUPAT,Forb,Eupatorium spp,6,110
Asteraceae,Evax verna,EVVE,Forb,"Pygmy cudweed, Spring",2,7
Asteraceae,Gaillardia aestivalis,GAAE,Forb,Prairie gaillardia,2,52
Asteraceae,Gaillardia pulchella,GAPU,Forb,Firewheel,2,7
Asteraceae,Gnaphalium spp,GNAPH,Forb,Cudweed,2,52
Asteraceae,Helianthus hirsutus,HEHI2,Forb,Stiff sunflower,2,9
Asteraceae,Hymenopappus tenuiflorus,HYTE2,Forb,Chalk Hill Hymenopappus,6,110
Asteraceae,Hymenoxys linearifolia,HYLI7,Forb,Narrowleaf hymenoxys,2,7
Asteraceae,Hymenoxys odorata,HYOD,Forb,Bitterweet,2,52
Asteraceae,Lindheimera texana,LITE3,Forb,"Yellowstar, Texas",2,7
Asteraceae,Rudbeckia hirta,RUHI2,Forb,Blackeyed susan,2,9
Asteraceae,Thelesperma filifolium,THFI,Forb,Fineleaf greenthread,6,117
Asteraceae,Vernonia baldwinii,VEBA,Forb,Western ironweed,2,9
Boraginaceae,Buglossoides arvense,BUAR3,Forb,Hoary puccoon,2,52
Boraginaceae,Heliotropium tenellum,HETE3,Forb,Pasture Heliotrope,2,7
Brassicaceae,Lepidium virginicum,LEVI3,Forb,Virginia pepperweed,2,9
Brassicaceae,Lesquerella gracilis,LEGR2,Forb,Spreading bladderpod,6,110
Brassicaceae,Lesquerella ovalifolia,LEOV,Forb,Roundleaf bladderpod,6,110
Cactaceae,Escobaria vivipara,ESVI2,Succulent,Pincushion cactus,6,110
Cactaceae,Opuntia spp,OPUNT,Succulent,Prickley pear,2,9
Campanulaceae,Triodanis leptocarpa,TRLE3,Forb,"Venus looking glass, Slender",6,110
Campanulaceae,Triodanis perfoliata,TRPE4,Forb,"Venus looking glass, 5Clasping",3,74
Caryophyllaceae,Arenaria stricta,ARSTD,Forb,Rock sandwort,6,110
Caryophyllaceae,Cerastium glomeratum,CEGL2,Forb,Clammy chickweed,2,7
Caryophyllaceae,Paronchyia jamesii,PAJA,Forb,James' Nailwort,2,7
Caryophyllaceae,Sagina decumbens,SADE,Forb,Trailing pearlwort,2,52
Caryophyllaceae,Silene antirrhina,SIAN2,Forb,sleepy catchfly,2,7
Caryophyllaceae,Stellaria media,STME2,Forb,Common chickweed,2,9
Cistaceae,Lechea tenuiflora,LETE,Forb,Narrowleaf pinweed,2,52
