Site,Treatment,Plot,Old Camera Number,New Camera Number,Time (If Recorded)
PL,MS,1,40,441,12:34
PL,CS,2,45,428,12:37
PL,MH,3,98,431,12:39
PL,MO,4,52,426,12:42
PL,CO,5,74,440,12:45
PL,CH,6,72,427,
DF,MS,1,33,438,
DF,CS,2,81,433,
DF,MH,3,96,420,
DF,MO,4,79,432,
DF,CH,5,91,429,
DF,CO,6,47,423,
WP,MS,1,78,443,
WP,CH,2,60,417,
WP,MH,3,17,430,
WP,CO,4,75,437,
WP,CS,5,24,435,
WP,MO,6,42,444,
GG,CO,1,50,422,
GG,CH,2,55,446,
GG,CS,3,90,445,
GG,MS,4,88,442,
GG,MH,5,93,418,
GG,MO,6,77,436,
OS,CS,1,83,419,
OS,CH,2,51,439,
OS,MS,3,35,447,
OS,CO,4,89,421,
OS,MO,5,84,425,
OS,MH,6,32,424,
