TRIAL,YEAR,MONTH,DAY,DATE,SITE,TREATMENT,DISH,SEEDS,NOTES
1,2019,4,18,4/18/19,DF,MME,A,30,
1,2019,4,18,4/18/19,DF,MME,B,30,
1,2019,4,18,4/18/19,DF,MME,C,30,
1,2019,4,18,4/18/19,DF,CONTROL,A,30,
1,2019,4,18,4/18/19,DF,CONTROL,B,30,
1,2019,4,18,4/18/19,DF,CONTROL,C,30,
1,2019,4,18,4/18/19,WP,MME,A,30,
1,2019,4,18,4/18/19,WP,MME,B,30,
1,2019,4,18,4/18/19,WP,MME,C,30,
1,2019,4,18,4/18/19,WP,CONTROL,A,30,
1,2019,4,18,4/18/19,WP,CONTROL,B,30,
1,2019,4,18,4/18/19,WP,CONTROL,C,30,
1,2019,4,18,4/18/19,GG,MME,A,30,
1,2019,4,18,4/18/19,GG,MME,B,30,
1,2019,4,18,4/18/19,GG,MME,C,30,
1,2019,4,18,4/18/19,GG,CONTROL,A,30,
1,2019,4,18,4/18/19,GG,CONTROL,B,30,
1,2019,4,18,4/18/19,GG,CONTROL,C,30,
1,2019,4,18,4/18/19,OS,MME,A,30,
1,2019,4,18,4/18/19,OS,MME,B,30,
1,2019,4,18,4/18/19,OS,MME,C,30,
1,2019,4,18,4/18/19,OS,CONTROL,A,30,
1,2019,4,18,4/18/19,OS,CONTROL,B,30,
1,2019,4,18,4/18/19,OS,CONTROL,C,30,
1,2019,4,19,4/19/19,DF,MME,A,30,
1,2019,4,19,4/19/19,DF,MME,B,29,
1,2019,4,19,4/19/19,DF,MME,C,29,
1,2019,4,19,4/19/19,DF,CONTROL,A,26,
1,2019,4,19,4/19/19,DF,CONTROL,B,29,
1,2019,4,19,4/19/19,DF,CONTROL,C,30,
1,2019,4,19,4/19/19,WP,MME,A,30,
1,2019,4,19,4/19/19,WP,MME,B,25,
1,2019,4,19,4/19/19,WP,MME,C,24,
1,2019,4,19,4/19/19,WP,CONTROL,A,27,
1,2019,4,19,4/19/19,WP,CONTROL,B,28,
1,2019,4,19,4/19/19,WP,CONTROL,C,26,
1,2019,4,19,4/19/19,GG,MME,A,25,
1,2019,4,19,4/19/19,GG,MME,B,22,
1,2019,4,19,4/19/19,GG,MME,C,28,
1,2019,4,19,4/19/19,GG,CONTROL,A,27,
