SITE,PLOT,BIOMASS,TREATMENT,PACKET,TYPE,SPECIES,ID,RETRIEVED,STATUS,TEST,TEST (16 JULY 2019),TEST (30 NOVEMBER 2019),TEST (10 FEBRUARY  2020),TEST (12 MARCH 2020),TEST (BOIL DAY; 13 MARCH 2020),TEST (31 MARCH 2020),Apr-20,May-20,Jul-20,FINAL.STATUS,FINAL.STATUS.NA,FINAL.STATUS.NO.NA
WP,1,M,S,BA,PY,MASY,1,Y,G,,,,,,,,,,,1,1,1
WP,1,M,S,BA,PY,MASY,2,Y,G,,,,,,,,,,,1,1,1
WP,1,M,S,BA,PY,MASY,3,Y,G,,,,,,,,,,,1,1,1
WP,1,M,S,BA,PY,MASY,4,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BA,PY,MASY,5,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BA,PY,MASY,6,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BA,PY,MASY,7,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BA,PY,MASY,8,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BA,PY,MASY,9,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BA,PY,MASY,10,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BA,PD,TRAE,1,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BA,PD,TRAE,2,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BA,PD,TRAE,3,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BA,PD,TRAE,4,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BA,PD,TRAE,5,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BA,PD,TRAE,6,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BA,PD,TRAE,7,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BA,PD,TRAE,8,N,,,,,,,,,,,,0,NA,0
WP,1,M,S,BA,PD,TRAE,9,N,,,,,,,,,,,,0,NA,0
WP,1,M,S,BA,PD,TRAE,10,N,,,,,,,,,,,,0,NA,0
WP,1,M,S,BA,ND,SIALD,1,Y,G,,,,,,,,,,,1,1,1
WP,1,M,S,BA,ND,SIALD,2,Y,G,,,,,,,,,,,1,1,1
WP,1,M,S,BA,ND,SIALD,3,Y,G,,,,,,,,,,,1,1,1
WP,1,M,S,BA,ND,SIALD,4,Y,G,,,,,,,,,,,1,1,1
WP,1,M,S,BA,ND,SIALD,5,N,,,,,,,,,,,,0,NA,0
WP,1,M,S,BA,ND,SIALD,6,N,,,,,,,,,,,,0,NA,0
WP,1,M,S,BA,ND,SIALD,7,N,,,,,,,,,,,,0,NA,0
WP,1,M,S,BA,ND,SIALD,8,N,,,,,,,,,,,,0,NA,0
WP,1,M,S,BA,ND,SIALD,9,N,,,,,,,,,,,,0,NA,0
WP,1,M,S,BA,ND,SIALD,10,N,,,,,,,,,,,,0,NA,0
WP,1,M,S,BU,PY,MASY,1,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BU,PY,MASY,2,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BU,PY,MASY,3,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BU,PY,MASY,4,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BU,PY,MASY,5,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BU,PY,MASY,6,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BU,PY,MASY,7,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BU,PY,MASY,8,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BU,PY,MASY,9,Y,U,,,D,,,,,,,,0,0,0
WP,1,M,S,BU,PY,MASY,10,N,,,,,,,,,,,,0,NA,0
WP,1,M,S,BU,PD,TRAE,1,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BU,PD,TRAE,2,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BU,PD,TRAE,3,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BU,PD,TRAE,4,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BU,PD,TRAE,5,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BU,PD,TRAE,6,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BU,PD,TRAE,7,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BU,PD,TRAE,8,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BU,PD,TRAE,9,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BU,PD,TRAE,10,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BU,ND,SIALD,1,Y,G,,,,,,,,,,,1,1,1
WP,1,M,S,BU,ND,SIALD,2,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BU,ND,SIALD,3,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BU,ND,SIALD,4,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BU,ND,SIALD,5,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BU,ND,SIALD,6,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BU,ND,SIALD,7,Y,D,,,,,,,,,,,0,0,0
WP,1,M,S,BU,ND,SIALD,8,Y,U,,D,,,,,,,,,0,0,0
WP,1,M,S,BU,ND,SIALD,9,Y,U,,D,,,,,,,,,0,0,0
