Date,Site,Treatment,Biomass,Fencing,%OM,P,K,CA,MG,ZN,NA,PH,% N,MQH,MQK,MQCA,MQMG,PCH,PCK,PCCA,PCMG
4/12/2019,DF,MME Herbivore Exclusion,MME,Herbivore Exclusion,5.1,27,406,9540,250,3.4,52,7.1,0.307,0,0.52,23.85,1.04,0,2.05,93.86,4.09
4/12/2019,GG,MME Herbivore Exclusion,MME,Herbivore Exclusion,4.3,27,317,6379,310,1.1,12,6.2,0.248,3.5,0.41,15.95,1.29,16.55,1.94,75.41,6.1
4/12/2019,OS,MME Herbivore Exclusion,MME,Herbivore Exclusion,4.1,9,382,5008,295,0.7,10,6.1,0.223,3.2,0.49,12.52,1.23,18.35,2.81,71.79,7.05
4/12/2019,WP,MME Herbivore Exclusion,MME,Herbivore Exclusion,4.5,29,296,5897,196,2.6,22,6.5,0.272,2.2,0.38,14.74,0.82,12.13,2.09,81.26,4.52
5/19/2020,DF,MME Herbivore Exclusion,MME,Herbivore Exclusion,5.88756,72,672,5951,318,6.8,60,7.7,0.349,0,0.86,14.88,1.33,0,5.04,87.17,7.79
5/19/2020,GG,MME Herbivore Exclusion,MME,Herbivore Exclusion,4.5666,93,725,5983,428,3.4,59,6.8,0.264,1.2,0.93,14.96,1.78,6.36,4.93,79.28,9.43
5/19/2020,OS,MME Herbivore Exclusion,MME,Herbivore Exclusion,3.1648,83,495,4795,357,2.5,53,5.8,0.193,3.1,0.63,11.99,1.49,18.01,3.66,69.67,8.66
5/19/2020,WP,MME Herbivore Exclusion,MME,Herbivore Exclusion,4.60616,87,465,6235,198,5.1,51,6.9,0.284,0.5,0.6,15.59,0.83,2.85,3.42,88.98,4.74
7/21/2020,DF,MME Herbivore Exclusion,MME,Herbivore Exclusion,5.78092,57,608,8717,280,5.6,41,7.4,0.343,0,0.78,21.79,1.17,0,3.29,91.79,4.93
7/21/2020,GG,MME Herbivore Exclusion,MME,Herbivore Exclusion,4.73,158,854,6524,589,4.5,48,6.6,0.272,1.9,1.09,16.31,2.45,8.74,5.01,74.99,11.26
7/21/2020,OS,MME Herbivore Exclusion,MME,Herbivore Exclusion,4.55628,240,980,4608,291,5.7,53,5.4,0.287,4.2,1.26,11.52,1.21,23.09,6.93,63.33,6.65
7/21/2020,WP,MME Herbivore Exclusion,MME,Herbivore Exclusion,4.64744,43,389,7681,201,4.4,42,7.7,0.304,0,0.5,19.2,0.84,0,2.43,93.48,4.09
5/5/2021,DF,MME Herbivore Exclusion,MME,Herbivore Exclusion,5.84628,35,583,5751,315,5.7,25,7.9,0.356,0,0.75,14.38,1.31,0,4.56,87.47,7.97
5/5/2021,GG,MME Herbivore Exclusion,MME,Herbivore Exclusion,4.42212,87,525,5408,369,2.2,26,6.6,0.274,1.2,0.67,13.52,1.54,7.09,3.96,79.86,9.1
5/5/2021,OS,MME Herbivore Exclusion,MME,Herbivore Exclusion,3.34368,71,381,4361,357,2.4,30,5.6,0.21,2.5,0.49,10.9,1.49,16.25,3.19,70.87,9.69
5/5/2021,WP,MME Herbivore Exclusion,MME,Herbivore Exclusion,4.55456,124,591,4138,228,5.5,30,6.4,0.309,0.6,0.76,10.35,0.95,4.74,6,81.75,7.5
4/12/2019,DF,MME Open,MME,Open,3.8,12,291,6287,223,3.8,27,7.3,0.391,0,0.37,15.72,0.93,0,2.17,92.36,5.46
4/12/2019,GG,MME Open,MME,Open,4,17,246,5941,337,0.5,16,6.3,0.226,2.7,0.32,14.85,1.4,14.01,1.66,77.06,7.27
4/12/2019,OS,MME Open,MME,Open,3.6,7,344,5014,264,0.7,13,6.1,0.202,3.2,0.44,12.54,1.1,18.52,2.55,72.57,6.37
4/12/2019,WP,MME Open,MME,Open,4.3,22,271,6762,172,2.2,14,7.3,0.273,0,0.35,16.91,0.72,0,1.95,94.05,4
5/19/2020,DF,MME Open,MME,Open,5.60892,76,510,6152,267,6.4,52,8,0.348,0,0.65,15.38,1.11,0,3.79,89.73,6.48
5/19/2020,GG,MME Open,MME,Open,3.46408,71,300,6344,353,1.9,48,6.2,0.206,2.3,0.38,15.86,1.47,11.49,1.9,79.26,7.35
5/19/2020,OS,MME Open,MME,Open,3.182,110,481,5324,288,2.4,45,6.2,0.195,2.6,0.62,13.31,1.2,14.66,3.5,75.07,6.77
5/19/2020,WP,MME Open,MME,Open,4.7902,64,469,7838,194,4,61,7.8,0.306,0,0.6,19.6,0.81,0,2.86,93.29,3.86
7/21/2020,DF,MME Open,MME,Open,5.848,94,440,6287,268,7.4,43,7.8,0.363,0,0.56,15.72,1.12,0,3.22,90.34,6.44
7/21/2020,GG,MME Open,MME,Open,5.18408,131,467,5286,365,5.2,44,5.6,0.297,4.4,0.6,13.22,1.52,22.29,3.04,66.97,7.7
7/21/2020,OS,MME Open,MME,Open,4.31376,193,795,5452,316,5.7,43,6,0.25,3.4,1.02,13.63,1.32,17.55,5.27,70.37,6.81
7/21/2020,WP,MME Open,MME,Open,4.74032,58,413,8243,201,4.9,42,7.5,0.3,0,0.53,20.61,0.84,0,2.41,93.77,3.82
5/5/2021,DF,MME Open,MME,Open,6.95912,41,410,6161,326,6.7,27,8,0.427,0,0.53,15.4,1.36,0,3.07,89.07,7.87
5/5/2021,GG,MME Open,MME,Open,3.8012,31,336,5279,392,1.9,27,7.2,0.224,0,0.43,13.2,1.63,0,2.82,86.5,10.68
5/5/2021,OS,MME Open,MME,Open,3.5862,45,365,4215,261,2.3,28,6.1,0.22,1.8,0.47,10.54,1.09,12.95,3.38,75.83,7.84
5/5/2021,WP,MME Open,MME,Open,4.61132,37,406,4933,196,3.4,27,7.5,0.313,0,0.52,12.33,0.82,0,3.8,90.2,6
4/12/2019,DF,MME Scavenger Exclusion,MME,Scavenger Exclusion,4,5,580,5949,433,2.2,14,6.2,0.217,2.8,0.74,14.87,1.8,13.85,3.66,73.58,8.91
4/12/2019,GG,MME Scavenger Exclusion,MME,Scavenger Exclusion,3.9,6,327,8342,255,0.2,24,6.9,0.241,1.2,0.42,20.86,1.06,5.1,1.78,88.62,4.5
4/12/2019,OS,MME Scavenger Exclusion,MME,Scavenger Exclusion,3.7,6,322,5932,237,0.7,13,6.6,0.22,2,0.41,14.83,0.99,10.97,2.25,81.35,5.43
4/12/2019,WP,MME Scavenger Exclusion,MME,Scavenger Exclusion,5.3,19,354,8097,237,3.5,14,6.9,0.314,0.8,0.45,20.24,0.99,3.56,2,90.04,4.4
5/19/2020,DF,MME Scavenger Exclusion,MME,Scavenger Exclusion,4.0248,51,699,6258,460,3,60,6.2,0.226,1.7,0.9,15.65,1.92,8.43,4.46,77.59,9.52
5/19/2020,GG,MME Scavenger Exclusion,MME,Scavenger Exclusion,4.45996,111,488,8447,302,3.7,51,7.1,0.264,0,0.63,21.12,1.26,0,2.74,91.79,5.48
5/19/2020,OS,MME Scavenger Exclusion,MME,Scavenger Exclusion,3.89236,111,545,6623,249,2.9,48,6.8,0.238,1.2,0.7,16.56,1.04,6.15,3.59,84.92,5.33
5/19/2020,WP,MME Scavenger Exclusion,MME,Scavenger Exclusion,4.7386,100,546,7657,246,5.5,60,7.4,0.289,0,0.7,19.14,1.03,0,3.35,91.71,4.94
7/21/2020,DF,MME Scavenger Exclusion,MME,Scavenger Exclusion,5.50916,239,1032,6363,510,8.5,50,6.1,0.324,3,1.32,15.91,2.13,13.42,5.9,71.15,9.53
7/21/2020,GG,MME Scavenger Exclusion,MME,Scavenger Exclusion,6.20232,118,545,6930,278,4.8,42,6.4,0.343,2.4,0.7,17.33,1.16,11.12,3.24,80.27,5.37
7/21/2020,OS,MME Scavenger Exclusion,MME,Scavenger Exclusion,4.73344,172,691,6022,284,6.7,44,6.2,0.293,2.6,0.89,15.06,1.18,13.18,4.51,76.33,5.98
7/21/2020,WP,MME Scavenger Exclusion,MME,Scavenger Exclusion,4.91232,216,655,7116,276,10.4,43,7.2,0.3,0,0.84,17.79,1.15,0,4.25,89.94,5.81
5/5/2021,DF,MME Scavenger Exclusion,MME,Scavenger Exclusion,4.3516,33,845,5755,605,2.8,30,6.9,0.248,0.7,1.08,14.39,2.52,3.75,5.78,76.99,13.48
5/5/2021,GG,MME Scavenger Exclusion,MME,Scavenger Exclusion,4.57004,78,409,5520,270,2.7,24,7,0.288,0,0.52,13.8,1.13,0,3.37,89.32,7.31
5/5/2021,OS,MME Scavenger Exclusion,MME,Scavenger Exclusion,3.97664,65,500,4751,275,2.2,31,6.7,0.24,0.7,0.64,11.88,1.15,4.87,4.45,82.67,8
5/5/2021,WP,MME Scavenger Exclusion,MME,Scavenger Exclusion,5.70868,175,594,5424,260,7,26,7.5,0.384,0,0.76,13.56,1.08,0,4.94,88.05,7.01
