"Timing","BIOMASS","Location","EXCLUSION","geometric_mean_or_No_dormancy","mean_log_or_No_dormancy","se_log_or_No_dormancy","geometric_mean_or_Physical_dormancy","mean_log_or_Physical_dormancy","se_log_or_Physical_dormancy","geometric_mean_or_Physiological_dormancy","mean_log_or_Physiological_dormancy","se_log_or_Physiological_dormancy"
"Seed rain","Single carcass","Adjacent","Open",6.92,1.94,"'(1.16)",2.19,0.78,"'(1.05)",1.24,0.21,"'(0.77)"
"Seed rain","Single carcass","Adjacent","Scavenger",1.32,0.28,"'(1.29)",1.39,0.33,"'(0.82)",2.56,0.94,"'(0.78)"
"Seed rain","Single carcass","Adjacent","Herbivore",1.54,0.43,"'(1.48)",2.56,0.94,"'(0.94)",1.14,0.13,"'(0.43)"
"Seed rain","Single carcass","Contact","Open",0.71,-0.35,"'(2.14)",0.83,-0.18,"'(0.6)",1.07,0.06,"'(1.31)"
"Seed rain","Single carcass","Contact","Scavenger",0.28,-1.27,"'(1.3)",1.43,0.36,"'(0.59)",0.29,-1.23,"'(0.83)"
"Seed rain","Single carcass","Contact","Herbivore",0.21,-1.54,"'(0.91)",0.79,-0.24,"'(0.85)",0.49,-0.72,"'(0.41)"
"Seed rain","Mass mortality","Adjacent","Open",4.38,1.48,"'(2.32)",1.06,0.06,"'(0.79)",1.38,0.32,"'(0.32)"
"Seed rain","Mass mortality","Adjacent","Scavenger",1.36,0.31,"'(1.87)",0.74,-0.3,"'(0.3)",1.48,0.39,"'(0.47)"
"Seed rain","Mass mortality","Adjacent","Herbivore",6.42,1.86,"'(1.81)",3.09,1.13,"'(0.98)",0.29,-1.23,"'(0.83)"
"Seed rain","Mass mortality","Contact","Open",0.21,-1.57,"'(1.35)",0.47,-0.75,"'(0.45)",0.29,-1.23,"'(0.83)"
"Seed rain","Mass mortality","Contact","Scavenger",0.36,-1.02,"'(1.77)",0.83,-0.18,"'(0.36)",0.42,-0.87,"'(0.87)"
"Seed rain","Mass mortality","Contact","Herbivore",0.24,-1.41,"'(1.15)",1.38,0.32,"'(0.32)",0.29,-1.23,"'(0.83)"
"Seed bank","Single carcass","Adjacent","Open",0.93,-0.07,"'(0.87)",0.62,-0.48,"'(0.75)",1.27,0.24,"'(0.98)"
"Seed bank","Single carcass","Adjacent","Scavenger",0.34,-1.07,"'(1.03)",0.55,-0.6,"'(0.98)",1.17,0.16,"'(0.75)"
"Seed bank","Single carcass","Adjacent","Herbivore",0.44,-0.83,"'(0.85)",1.35,0.3,"'(0.62)",0.73,-0.31,"'(1.15)"
"Seed bank","Single carcass","Contact","Open",0.23,-1.46,"'(0.72)",0.48,-0.73,"'(1.14)",0.3,-1.21,"'(0.43)"
"Seed bank","Single carcass","Contact","Scavenger",0.09,-2.37,"'(0.71)",0.26,-1.35,"'(0.78)",0.69,-0.37,"'(0.44)"
"Seed bank","Single carcass","Contact","Herbivore",0.3,-1.19,"'(0.6)",0.84,-0.18,"'(0.87)",0.37,-0.99,"'(0.64)"
"Seed bank","Mass mortality","Adjacent","Open",0.33,-1.1,"'(0.51)",1.16,0.15,"'(1.03)",0.58,-0.54,"'(0.32)"
"Seed bank","Mass mortality","Adjacent","Scavenger",0.66,-0.42,"'(0.7)",0.46,-0.78,"'(0.66)",0.22,-1.51,"'(0.58)"
"Seed bank","Mass mortality","Adjacent","Herbivore",0.86,-0.15,"'(0.81)",1.32,0.28,"'(0.69)",0.81,-0.21,"'(0.21)"
"Seed bank","Mass mortality","Contact","Open",0.19,-1.65,"'(0.68)",0.26,-1.35,"'(0.78)",0.39,-0.94,"'(0.46)"
"Seed bank","Mass mortality","Contact","Scavenger",0.19,-1.65,"'(0.67)",0.46,-0.78,"'(1.2)",1.45,0.37,"'(1.27)"
"Seed bank","Mass mortality","Contact","Herbivore",0.09,-2.37,"'(0.71)",0.26,-1.35,"'(0.78)",0.44,-0.83,"'(0.74)"
